"ID","Dotknuté aktíva","Hodnota aktíva","Názov rizika","Opis rizika","Popis hrozby","Popis zraniteľnosti","Pravdepodobnosť (pred mitigáciou)","Následok (pred mitigáciou)","Úroveň závažnosti rizika (pred mitigáciou)","Navrhované opatrenia","Pravdepodobnosť (po mitigácii)","Následok (po mitigácii)","Úroveň závažnosti rizika (po mitigácii)"
"1","Server","200000","Nejasná fyzická bezpečnosť","Politika je v rozpore sama so sebou, keďže úvod tvrdí, že neexistuje fyzické sídlo, ale ďalšie kapitoly popisujú fyzické bezpečnostné opatrenia. To vedie k nejasnostiam a pravdepodobne k nedostatočnej ochrane serverov.","Neoprávnený vstup do priestorov","Nedostatočná fyzická ochrana budovy, dverí a okien","Vysoká","Katastrofický","Veľmi vysoké","Vyjasniť a zdokumentovať skutočné fyzické umiestnenie aktív a zaviesť auditovateľné bezpečnostné opatrenia v súlade s ISO 27001.","Veľmi nízka","Závažný","Nízke"
"2","Router","5000","Nedostatočná ochrana sieťovej infraštruktúry","Vzhľadom na nejasnosti ohľadom fyzického sídla je pravdepodobné, že sieťové zariadenia ako routre nie sú adekvátne chránené pred neoprávneným fyzickým prístupom.","Manipulácia s hardvérom","Nedostatočná fyzická ochrana budovy, dverí a okien","Vysoká","Závažný","Vysoké","Zabezpečiť sieťové zariadenia v uzamykateľných rackoch v kontrolovanom prostredí.","Nízka","Stredný","Stredné"
"3","Budovy","2000000","Riziko z neexistujúceho alebo nezabezpečeného sídla","Politika popiera existenciu sídla, čo znemožňuje ochranu pred fyzickými a environmentálnymi hrozbami.","Oheň","Lokalita v oblasti náchylnej na povodne","Vysoká","Katastrofický","Veľmi vysoké","Zriadiť oficiálne, bezpečné sídlo alebo využívať certifikované datacentrum pre kľúčovú infraštruktúru.","Veľmi nízka","Stredný","Nízke"
"4","Server","200000","Nechránené interné servery pred malvérom","Politika uvádza, že antivírusová ochrana sa vzťahuje len na servery spracúvajúce dáta od klientov, čo ponecháva interné systémy zraniteľné.","Odosielanie alebo distribúcia malvéru","Nedostatok politiky pre používanie mobilných zariadení","Vysoká","Závažný","Vysoké","Implementovať komplexnú antivírusovú ochranu na všetky servery a koncové body v sieti.","Veľmi nízka","Stredný","Nízke"
"5","Počítač používaný ako pracovná stanica","1500","Infekcia pracovných staníc malvérom","Ak interné servery nie sú chránené, môžu sa stať zdrojom malvéru pre pracovné stanice pripojené v sieti.","Odosielanie alebo distribúcia malvéru","Nesprávne používanie softvéru a hardvéru","Stredná","Závažný","Vysoké","Rozšíriť politiku ochrany pred malvérom na všetky aktíva v sieti a pravidelne školiť používateľov.","Nízka","Malý","Nízke"
"6","Špecifická podniková aplikácia","100000","Neobmedzený prístup k systémom","V politike sa uvádza, že používatelia nemajú obmedzenia na pripojenie k informačným systémom, čo je v rozpore s princípom najnižších privilégií.","Zneužitie práv alebo povolení","Nesprávne priradenie prístupových práv","Vysoká","Závažný","Vysoké","Zaviesť politiku riadenia prístupu založenú na rolách (RBAC) a princípe ""need-to-know"".","Nízka","Stredný","Stredné"
"7","Softvér na správu databáz","5000","Neoprávnený prístup k databázam","Neobmedzený prístup k sieti môže viesť k neautorizovanému prístupu k databázovým systémom zo strany zamestnancov, ktorí na to nemajú oprávnenie.","Neoprávnené spracúvanie osobných údajov","Nedostatok identifikačných a autentifikačných mechanizmov (napr. autentifikácia používateľov)","Vysoká","Katastrofický","Veľmi vysoké","Implementovať granulárne riadenie prístupu na úrovni databáz a sieťovú segmentáciu.","Nízka","Stredný","Stredné"
"8","Používatelia","50000","Únik citlivých informácií kvôli slabej politike čistého stola","Politika čistého stola je definovaná veľmi povrchne, zameriava sa len na uzamykanie PC a nerieši fyzické dokumenty.","Krádež médií alebo dokumentov","Nedostatok politiky „čistý stôl a čistá obrazovka“","Stredná","Stredný","Stredné","Vytvoriť a presadzovať detailnú politiku čistého stola a obrazovky vrátane pravidelných kontrol.","Nízka","Malý","Nízke"
"9","Kancelárie","100000","Krádež dokumentov z pracoviska","Nedostatočná politika čistého stola zvyšuje riziko, že citlivé dokumenty ostanú na stoloch a môžu byť odcudzené.","Krádež médií alebo dokumentov","Nezabezpečená práca externých alebo upratovacích pracovníkov","Stredná","Stredný","Stredné","Zaviesť uzamykateľné skrinky pre všetkých zamestnancov a vyžadovať ukladanie dokumentov po pracovnej dobe.","Nízka","Malý","Nízke"
"10","Vedenie organizácie","1500000","Nereagovanie na nové hrozby","V politike chýba proces pre aktívny zber a analýzu informácií o nových hrozbách (threat intelligence).","Sociálne inžinierstvo","Nedostatok povedomia o bezpečnosti","Stredná","Závažný","Vysoké","Zaviesť proces pre zber, analýzu a distribúciu informácií o hrozbách z relevantných zdrojov (napr. CSIRT, fóra).","Nízka","Stredný","Stredné"
"11","Špecifická podniková aplikácia","100000","Nedostupnosť služieb z dôvodu preťaženia","Chýba proces kapacitného manažmentu, čo môže viesť k preťaženiu systémov a výpadku služieb.","Odmietnutie služby","Nedostatok pravidelných manažérskych prehliadok","Stredná","Závažný","Vysoké","Implementovať monitoring výkonu a kapacity kľúčových systémov s plánovaním budúcich potrieb.","Nízka","Malý","Nízke"
"12","Server","200000","Výpadok služby kvôli nedostatočnej kapacite","Bez plánovania kapacity môže serveru dôjsť diskový priestor, pamäť alebo výpočtový výkon, čo spôsobí nedostupnosť.","Odmietnutie služby","Slabá sieťová architektúra","Stredná","Závažný","Vysoké","Zaviesť pravidelné revízie kapacity a automatizované varovania pri dosahovaní limitov.","Nízka","Malý","Nízke"
"13","Router","5000","Problémy s vyšetrovaním incidentov","V politike chýba požiadavka na synchronizáciu času, čo znemožňuje koreláciu logov z rôznych systémov pri analýze bezpečnostných incidentov.","Popretie","Nedostatok audítorského záznamu","Vysoká","Stredný","Vysoké","Implementovať NTP a zabezpečiť synchronizáciu času na všetkých systémoch a zariadeniach v sieti.","Veľmi nízka","Malý","Veľmi nízke"
"14","Switch","5000","Nekonzistentné logy","Bez synchronizácie času sú časové značky v logoch nepresné, čo sťažuje rekonštrukciu udalostí.","Manipulácia so softvérom","Nedostatok záznamov o chybách v administrátorských a operátorských logoch","Vysoká","Stredný","Vysoké","Vynútiť politiku synchronizácie času prostredníctvom centrálnej správy.","Veľmi nízka","Zanedbateľný","Veľmi nízke"
"15","Špecifická podniková aplikácia","100000","Nekontrolované bezpečnostné riziká od dodávateľov","Politika je slabá v oblasti pravidelného monitorovania a hodnotenia bezpečnostných praktík dodávateľov.","Zlyhanie poskytovateľov služieb","Nedostatočné ustanovenia (o bezpečnosti) v zmluvách so zamestnancami","Stredná","Závažný","Vysoké","Zaviesť proces pravidelného auditu a hodnotenia bezpečnosti kľúčových dodávateľov.","Nízka","Stredný","Stredné"
"16","Vedenie organizácie","1500000","Zastaraný a neefektívny systém riadenia bezpečnosti","Chýba požiadavka na nezávislé preverenie ISMS, čo môže viesť k prehliadaniu nedostatkov a postupnej degradácii bezpečnosti.","Porušenie interných riadiacich aktov","Nedostatok pravidelných auditov","Stredná","Závažný","Vysoké","Naplánovať a vykonávať pravidelné nezávislé audity ISMS (interné alebo externé).","Nízka","Malý","Nízke"
"17","Špecifická podniková aplikácia","100000","Nedostupnosť systémov pri havárii","Politika nerieši detailne kontinuitu činností a pripravenosť IT na mimoriadne udalosti.","Veľká nehoda","Nedostatok plánov kontinuity","Stredná","Katastrofický","Vysoké","Vypracovať a pravidelne testovať plány kontinuity činností (BCP) a obnovy po havárii (DRP).","Nízka","Stredný","Stredné"
"18","Server","200000","Strata dát pri výpadku","Absencia detailného a testovaného plánu obnovy po havárii zvyšuje riziko trvalej straty dát.","Zničenie zariadenia, alebo médií","Nedostatok záložných kópií","Stredná","Katastrofický","Vysoké","Implementovať a pravidelne testovať zálohovanie a obnovu kľúčových systémov.","Nízka","Stredný","Stredné"
"19","Vývojári aplikácií","80000","Riziko podvodu alebo neoprávnenej zmeny","Chýba explicitná politika na segregáciu konfliktných povinností, čo v malom tíme môže viesť k tomu, že jedna osoba má príliš veľa právomocí (napr. vývoj aj nasadenie).","Zneužitie práv alebo povolení","Nedostatok formálneho postupu pre registráciu a zrušenie registrácie používateľov","Stredná","Závažný","Vysoké","Definovať a implementovať politiku segregácie povinností, kde je to možné, a zaviesť kompenzačné kontroly (napr. 'four-eyes principle').","Nízka","Stredný","Stredné"
"20","Systémový administrátor","90000","Zneužitie administrátorských práv","Nedostatočná segregácia povinností umožňuje administrátorovi vykonávať zmeny bez kontroly, čo zvyšuje riziko úmyselnej alebo neúmyselnej škody.","Falšovanie práv alebo povolení","Nedostatok záznamov v administrátorských a operátorských logoch","Stredná","Závažný","Vysoké","Implementovať systém správy privilegovaných účtov (PAM) a vyžadovať schvaľovanie pre kritické operácie.","Nízka","Stredný","Stredné"
"21","Prevádzkový/údržbový personál","60000","Chybovosť prevádzky kvôli chýbajúcej dokumentácii","Politika nevyžaduje, aby boli všetky prevádzkové postupy zdokumentované, čo môže viesť k chybám a nekonzistentnosti.","Chyba pri používaní","Nedostatok dokumentácie","Stredná","Stredný","Stredné","Zaviesť politiku vyžadujúcu zdokumentovanie všetkých kľúčových prevádzkových postupov a ich dostupnosť pre relevantný personál.","Nízka","Malý","Nízke"
"22","Špecifická podniková aplikácia","100000","Únik citlivých dát prostredníctvom sietí","V politike chýbajú špecifické opatrenia na prevenciu úniku dát (DLP), napr. monitorovanie odchádzajúcej komunikácie.","Zverejňovanie informácií","Nedostatok politiky pre používanie e-mailov","Stredná","Závažný","Vysoké","Implementovať riešenie na prevenciu úniku dát (DLP) na sieťovej a koncovej úrovni.","Nízka","Stredný","Stredné"
"23","Dátové médium","500","Neoprávnená obnova zmazaných dát","Politika nerieši bezpečné mazanie dát zo systémov a médií, ktoré už nie sú potrebné, čo vytvára riziko ich obnovy.","Zber recyklovaných alebo vyradených médií","Likvidácia alebo opätovné používanie úložných médií bez riadneho vymazania","Stredná","Stredný","Stredné","Definovať a implementovať štandardy pre bezpečné mazanie dát podľa ich klasifikácie.","Veľmi nízka","Malý","Veľmi nízke"
"24","Pevné zariadenie","1000","Zvyškové dáta na vyradenom hardvéri","Chýbajúci proces bezpečného mazania dát pred vyradením zariadenia môže viesť k úniku informácií.","Zber recyklovaných alebo vyradených médií","Nedbalosť pri likvidácii","Stredná","Závažný","Vysoké","Zaviesť povinný proces bezpečného vymazania alebo fyzického zničenia médií pred vyradením zariadenia.","Veľmi nízka","Malý","Veľmi nízke"
"25","Vedenie organizácie","1500000","Nechránené záznamy a dokumentácia","Chýba špecifická politika na ochranu záznamov (napr. logy, zmluvy, HR dokumenty) pred stratou, falšovaním a neoprávneným prístupom.","Poškodenie údajov","Nedostatok procedúr pre kontrolu ISMS dokumentácie","Stredná","Stredný","Stredné","Vytvoriť politiku na správu a ochranu záznamov počas celého ich životného cyklu.","Nízka","Malý","Nízke"
"26","Domovy zamestnancov","0","Nebezpečné pracovné prostredie pri práci na diaľku","Politika VPN nerieši komplexne riziká práce na diaľku, ako je nezabezpečená domáca Wi-Fi sieť alebo fyzická bezpečnosť zariadenia.","Odpočúvanie","Nedostatok kontroly nad majetkom mimo priestorov spoločnosti","Stredná","Stredný","Stredné","Vytvoriť detailnú politiku pre prácu na diaľku, ktorá zahŕňa požiadavky na domáce prostredie a správanie používateľov.","Nízka","Malý","Nízke"
"27","Notebook","1200","Krádež notebooku pri práci na diaľku","Absencia špecifických pravidiel pre prácu na diaľku zvyšuje riziko krádeže alebo straty zariadenia mimo chránených priestorov.","Krádež zariadenia","Nedostatok politiky pre používanie mobilných zariadení","Stredná","Stredný","Stredné","Vyžadovať šifrovanie diskov na všetkých prenosných zariadeniach a školiť zamestnancov o fyzickej bezpečnosti.","Nízka","Malý","Nízke"
"28","Vedenie organizácie","1500000","Prehliadanie nových bezpečnostných trendov a hrozieb","Politika nespomína aktívny kontakt s bezpečnostnými fórami a záujmovými skupinami, čo obmedzuje prístup k novým poznatkom.","Sociálne inžinierstvo","Nedostatok povedomia o bezpečnosti","Nízka","Stredný","Stredné","Podporovať členstvo a účasť bezpečnostného personálu v relevantných odborných a záujmových skupinách.","Veľmi nízka","Malý","Veľmi nízke"
"29","Špecifická podniková aplikácia","100000","Zneužitie neopravených zraniteľností","Hoci sa spomína OpenVAS, chýba formálny proces riadenia technických zraniteľností (hodnotenie, prioritizácia, sledovanie nápravy).","Manipulácia so softvérom","Známe chyby v softvéri","Vysoká","Závažný","Vysoké","Implementovať komplexný proces riadenia zraniteľností vrátane definovaných SLA pre ich opravu.","Nízka","Stredný","Stredné"
"30","Operačný systém","2000","Kompromitácia servera cez známu zraniteľnosť","Neexistencia formálneho procesu riadenia zraniteľností znamená, že kritické záplaty nemusia byť aplikované včas.","Odosielanie alebo distribúcia malvéru","Nedospelý alebo nový softvér","Vysoká","Katastrofický","Veľmi vysoké","Zaviesť politiku patch managementu s jasne definovanými časmi na aplikáciu bezpečnostných aktualizácií.","Nízka","Stredný","Stredné"
"31","Elektronická pošta","10000","Nebezpečné používanie šifrovania","Politika nariaďuje šifrovanie, ale nedefinuje pravidlá pre správu kľúčov a výber algoritmov, čo môže viesť k slabej implementácii.","Odpočúvanie","Nezabezpečená citlivá komunikácia","Stredná","Stredný","Stredné","Vytvoriť a presadzovať politiku používania kryptografie, vrátane štandardov pre správu kľúčov.","Nízka","Malý","Nízke"
"32","Hardvér","1000","Fyzické poškodenie zariadenia v dôsledku environmentálnych hrozieb","Nejasná politika fyzickej bezpečnosti znamená, že zariadenia nemusia byť chránené pred environmentálnymi hrozbami ako voda alebo oheň.","Voda","Citlivosť na vlhkosť, prach, znečistenie","Stredná","Závažný","Vysoké","Umiestniť kritickú infraštruktúru do certifikovaného datacentra s environmentálnymi kontrolami.","Veľmi nízka","Stredný","Nízke"
"33","Softvér","100000","Nekonzistentná konfigurácia systémov","Chýba proces správy konfigurácií, čo vedie k ""driftu"" a nekonzistentným bezpečnostným nastaveniam naprieč systémami.","Chyba pri používaní","Nedostatok efektívnej kontroly zmien konfigurácie","Stredná","Stredný","Stredné","Implementovať nástroje na správu konfigurácií (napr. Ansible, Puppet) a definovať bezpečné základné konfigurácie (baselines).","Nízka","Malý","Nízke"
"34","Sieť","50000","Neautorizovaný prístup do siete","Nedostatočná fyzická ochrana môže umožniť útočníkovi pripojiť sa priamo do internej siete.","Prístup neoprávneného používateľa k sieti","Nedostatočná fyzická ochrana budovy, dverí a okien","Stredná","Závažný","Vysoké","Implementovať sieťovú kontrolu prístupu (NAC) 802.1X na všetkých portoch.","Nízka","Stredný","Stredné"
"35","Personál","50000","Nízke bezpečnostné povedomie zamestnancov","Politika zmieňuje e-learning, ale nie je jasný rozsah a pravidelnosť, čo môže viesť k nízkemu povedomiu.","Sociálne inžinierstvo","Nedostatok povedomia o bezpečnosti","Vysoká","Stredný","Vysoké","Zaviesť komplexný a priebežný program zvyšovania bezpečnostného povedomia vrátane simulovaných phishingových testov.","Stredná","Stredný","Stredné"
"36","Projektový manažment","80000","Bezpečnosť ako dodatočná myšlienka v projektoch","Hoci je spomenutá, integrácia bezpečnosti do projektového manažmentu nie je detailne popísaná, čo môže viesť k zanedbaniu bezpečnostných požiadaviek.","Chybné plánovanie a nedostatky v adaptácii","Nejasné alebo neúplné špecifikácie pre vývojárov","Stredná","Stredný","Stredné","Povinne integrovať bezpečnostné aktivity (napr. threat modeling) do každej fázy životného cyklu projektu.","Nízka","Malý","Nízke"
"37","Dátové médium","500","Nesprávna likvidácia médií","Proces likvidácie je outsourcovaný, ale politika nešpecifikuje požiadavky na certifikáciu alebo audit partnera.","Zber recyklovaných alebo vyradených médií","Nedbalosť pri likvidácii","Nízka","Závažný","Stredné","Vyžadovať od partnera na likvidáciu médií certifikát o zničení a pravidelne overovať jeho postupy.","Veľmi nízka","Stredný","Nízke"
"38","Účetný softvér","50000","Finančný podvod","Nedostatočná segregácia povinností a slabé logovanie môže umožniť zamestnancovi vykonať a zakryť podvodné transakcie.","Zneužitie práv alebo povolení","Nedostatok monitorovacích mechanizmov","Nízka","Katastrofický","Stredné","Implementovať princíp štyroch očí pre kritické finančné operácie a zabezpečiť nemennosť účtovných záznamov.","Veľmi nízka","Závažný","Nízke"
"39","Elektrická energia","20000","Výpadok kritických systémov pri strate napájania","Politika sa spolieha na prevádzkovateľa budovy, ale nešpecifikuje vlastné požiadavky na záložné napájanie (UPS, generátor).","Strata napájania","Nestabilná sieť elektrickej energie","Nízka","Katastrofický","Stredné","Inštalovať UPS pre kritickú infraštruktúru a zvážiť dieselový generátor alebo redundantné napájanie z dvoch vetiev.","Veľmi nízka","Stredný","Nízke"
"40","Klimatizácia","15000","Prehriatie a zlyhanie serverov","Podobne ako pri napájaní, spoliehanie sa na prevádzkovateľa budovy bez vlastných SLA a monitoringu je rizikové.","Porucha chladiaceho alebo ventilačného systému","Nedostatok pravidelného plánu výmeny","Nízka","Závažný","Stredné","Implementovať vlastný monitoring teploty a vlhkosti v serverovni s automatickými výstrahami.","Veľmi nízka","Malý","Veľmi nízke"
"41","Telekomunikačné služby","25000","Strata konektivity","Politika nerieši redundanciu internetového pripojenia.","Porucha telekomunikačnej siete","Jediné miesto zlyhania","Stredná","Závažný","Vysoké","Zabezpečiť záložné internetové pripojenie od iného poskytovateľa s automatickým failoverom.","Nízka","Malý","Nízke"
"42","PDA","200000000","Strata dát z mobilného zariadenia","Politika pre mobilné zariadenia je základná a nemusí pokrývať všetky typy zariadení a rizík spojených s ich používaním.","Krádež zariadenia","Nedostatok politiky pre používanie mobilných zariadení","Stredná","Stredný","Stredné","Implementovať riešenie Mobile Device Management (MDM) na presadenie bezpečnostných politík na všetkých mobilných zariadeniach.","Nízka","Malý","Nízke"
"43","Vývojári aplikácií","80000","Zavedenie zraniteľností do kódu","Politika spomína SonarCube, ale nie povinné školenia vývojárov v oblasti bezpečného kódovania.","Manipulácia so softvérom","Nedostatok školenie o bezpečnosti","Stredná","Závažný","Vysoké","Zaviesť pravidelné a povinné školenia o bezpečnom kódovaní (napr. podľa OWASP) pre všetkých vývojárov.","Nízka","Stredný","Stredné"
"44","Softvér na správu databáz","5000","Neoprávnená eskalácia privilégií v databáze","Slabá správa prístupových práv a chýbajúci audit môžu umožniť používateľovi získať vyššie oprávnenia.","Falšovanie práv alebo povolení","Nesprávne priradenie prístupových práv","Stredná","Závažný","Vysoké","Pravidelne revidovať databázové oprávnenia a implementovať monitoring prístupu k citlivým tabuľkám.","Nízka","Stredný","Stredné"
"45","Periférne zariadenia","500","Únik dát cez nezabezpečenú tlačiareň","Tlačiarne v sieti môžu mať nechránené úložisko alebo konfiguračné rozhranie, čo predstavuje riziko.","Odpočúvanie","Nepotrebné služby aktivované","Nízka","Stredný","Stredné","Zahrnúť sieťové tlačiarne a multifunkčné zariadenia do procesu správy zraniteľností a vytvrdenia konfigurácie.","Veľmi nízka","Malý","Veľmi nízke"
"46","Dochádzkový systém","10000","Sfalšovanie dochádzky","Ak systém nie je dostatočne zabezpečený, zamestnanec môže manipulovať so záznamami o dochádzke.","Manipulácia so softvérom","Slabá správa hesiel","Nízka","Malý","Nízke","Zabezpečiť integritu dát v dochádzkovom systéme a obmedziť prístup na úpravu záznamov.","Veľmi nízka","Zanedbateľný","Veľmi nízke"
"47","Aplikácia na monitorovanie","20000","Sfalšovanie logov na zakrytie stôp","Ak monitorovací systém nie je chránený pred neoprávneným prístupom, útočník môže zmazať alebo zmeniť logy.","Popretie","Nedostatok audítorského záznamu","Stredná","Závažný","Vysoké","Odosielať logy v reálnom čase na centrálny, zabezpečený a nemenný (write-once) log server.","Nízka","Stredný","Stredné"
"48","Organizačná štruktúra","50000","Paralýza rozhodovania v prípade incidentu","Role a zodpovednosti pre riadenie incidentov sú definované, ale nemusia byť dostatočne precvičené.","Chybné plánovanie a nedostatky v adaptácii","Nedostatok povedomia o bezpečnosti","Nízka","Stredný","Stredné","Pravidelne vykonávať cvičenia a simulácie riešenia bezpečnostných incidentov (table-top exercises).","Veľmi nízka","Malý","Veľmi nízke"
"49","Právne oddelenie","100000","Porušenie zákonov a regulácií","Spoločnosť operuje v šedej zóne ('bez regulácie'), ale spomína GDPR a PSD2. Tento rozpor môže viesť k neplneniu zákonných požiadaviek.","Porušenie zákonov alebo nariadení","Nedostatok postupov na zabezpečenie zhody s právami duševného vlastníctva","Vysoká","Závažný","Vysoké","Vykonanie právnej analýzy na identifikáciu všetkých relevantných zákonov a regulácií a zavedenie procesu na zabezpečenie súladu.","Stredná","Stredný","Stredné"
"50","Finančný manažér","120000","Neefektívne investície do bezpečnosti","Chýba formalizovaný proces hodnotenia rizík pre všetky nové projekty, čo môže viesť k nesprávnej alokácii rozpočtu na bezpečnosť.","Chybný rozpočet","Nedostatok postupov identifikácie a hodnotenia rizík","Stredná","Stredný","Stredné","Zaviesť povinné hodnotenie bezpečnostných rizík ako súčasť každého investičného a projektového rozhodovania.","Nízka","Malý","Nízke"
"51","Server","200000","Inštalácia neautorizovaného softvéru na server","Politika zakazuje inštaláciu neautorizovaného softvéru používateľom, ale nie je jasné, ako sa to kontroluje na serveroch.","Manipulácia so softvérom","Nekontrolované sťahovanie a používanie softvéru","Nízka","Závažný","Stredné","Implementovať technické kontroly na serveroch, ako je aplikačný whitelisting, aby sa zabránilo spúšťaniu neschváleného softvéru.","Veľmi nízka","Stredný","Nízke"
"52","Počítač používaný ako pracovná stanica","1500","Používanie slabých hesiel","Politika síce vyžaduje 12 znakov, ale spolieha sa na používanie aplikácie Keepass používateľmi, technické vynútenie zložitosti nie je spomenuté.","Krádež identity","Slabá správa hesiel","Stredná","Stredný","Stredné","Technicky vynútiť politiku zložitosti hesiel prostredníctvom Active Directory alebo ekvivalentného systému.","Nízka","Stredný","Stredné"
